timestamp, utilization_gpu_pct, utilization_memory_pct, memory_used_mib, power_draw_w, temperature_gpu_c, clocks_sm_mhz, clocks_mem_mhz
2026/08/17 08:27:48.428, 100, 0, 612, 74.64, 69, 2767, 14001
2026/08/17 08:27:48.726, 100, 0, 612, 74.77, 69, 2767, 14001
2026/08/17 08:27:49.025, 100, 0, 612, 74.77, 69, 2767, 14001
2026/08/17 08:27:49.324, 100, 0, 612, 75.73, 70, 2767, 11001
2026/08/17 08:27:49.619, 100, 0, 612, 75.80, 69, 2767, 11001
2026/08/17 08:27:49.918, 100, 0, 612, 75.80, 69, 2767, 11001
2026/08/17 08:27:50.213, 100, 0, 612, 73.93, 69, 2767, 11001
2026/08/17 08:27:50.510, 100, 0, 612, 73.93, 69, 2767, 11001
2026/08/17 08:27:50.808, 100, 0, 612, 73.47, 69, 2767, 14001
2026/08/17 08:27:51.104, 100, 0, 612, 74.24, 69, 2767, 14001
2026/08/17 08:27:51.403, 100, 0, 612, 74.24, 69, 2767, 14001
2026/08/17 08:27:51.700, 100, 0, 612, 74.45, 69, 2767, 14001
2026/08/17 08:27:52.001, 100, 0, 612, 74.45, 69, 2767, 14001
2026/08/17 08:27:52.298, 100, 0, 612, 74.79, 70, 2767, 14001
2026/08/17 08:27:52.610, 100, 0, 612, 75.69, 70, 2767, 11001
2026/08/17 08:27:52.908, 100, 0, 612, 75.69, 70, 2767, 11001
2026/08/17 08:27:53.220, 100, 0, 612, 75.03, 70, 2767, 14001
2026/08/17 08:27:53.516, 100, 0, 612, 75.03, 70, 2767, 14001
2026/08/17 08:27:53.814, 100, 0, 612, 74.12, 70, 2767, 14001
2026/08/17 08:27:54.112, 100, 0, 612, 75.71, 70, 2767, 14001
2026/08/17 08:27:54.412, 100, 0, 612, 75.71, 70, 2767, 14001
2026/08/17 08:27:54.725, 100, 0, 612, 76.15, 70, 2767, 11001
2026/08/17 08:27:55.023, 100, 0, 612, 76.15, 70, 2767, 11001
2026/08/17 08:27:55.322, 100, 0, 612, 75.26, 70, 2767, 11001
2026/08/17 08:27:55.618, 100, 0, 612, 74.16, 70, 2767, 11001
2026/08/17 08:27:55.917, 100, 0, 612, 74.16, 70, 2767, 11001
2026/08/17 08:27:56.213, 100, 0, 612, 74.62, 70, 2767, 9001
2026/08/17 08:27:56.509, 100, 0, 612, 74.62, 70, 2767, 9001
2026/08/17 08:27:56.822, 100, 0, 612, 73.15, 70, 2767, 11001
2026/08/17 08:27:57.119, 100, 0, 612, 68.69, 70, 2767, 14001
2026/08/17 08:27:57.415, 100, 0, 612, 68.69, 70, 2767, 14001
2026/08/17 08:27:57.711, 100, 0, 612, 69.68, 70, 2767, 14001
2026/08/17 08:27:58.023, 100, 0, 612, 69.68, 70, 2767, 14001
2026/08/17 08:27:58.319, 100, 0, 612, 74.68, 70, 2767, 14001
2026/08/17 08:27:58.630, 100, 0, 612, 74.83, 70, 2767, 14001
